Mês,Dia,Leitura
JUNHO,26,Joel 1-3
JUNHO,27,2 Reis 14:21:25 / Jonas 1-4
JUNHO,28,2 Reis 14:26-29 / Jonas 4
JUNHO,29,Amós 1-3
JUNHO,30,Amós 4-6
JULHO,01,2 Reis 15-17
JULHO,02,Oséias 1-4
JULHO,03,Oséias 5-7
JULHO,04,Oséias 8-10
JULHO,05,Oséias 11-14
JULHO,06,2 Reis 18-19
JULHO,07,Isaías 1-3
JULHO,08,Isaías 4-6
JULHO,09,Isaías 7-9
JULHO,10,Isaías 10-12
JULHO,11,Isaías 13-15
JULHO,12,Isaías 16-18
JULHO,13,Isaías 19-21
JULHO,14,Isaías 22-24
JULHO,15,Isaías 25-27
JULHO,16,Isaías 28-30
JULHO,17,Isaías 31-33
JULHO,18,Isaías 34-36
JULHO,19,Isaías 37-39
JULHO,20,Isaías 40-42
JULHO,21,Isaías 43-45
JULHO,22,Isaías 46-48
JULHO,23,Isaías 49-51
JULHO,24,Isaías 52-54
JULHO,25,Isaías 55-57
JULHO,26,Isaías 58-60
JULHO,27,Isaías 61-63
JULHO,28,Isaías 64-66
JULHO,29,Miquéias 1-4
JULHO,30,Miquéias 5-7
JULHO,31,Naum 1-3
AGOSTO,01,2 Reis 20-21
AGOSTO,02,Sofonias 1-3
AGOSTO,03,Habacuque 1-3
AGOSTO,04,2 Reis 22-25
AGOSTO,05,Obadias / Jeremias 1-2
AGOSTO,06,Jeremias 3-5
AGOSTO,07,Jeremias 6-8
AGOSTO,08,Jeremias 9-12
AGOSTO,09,Jeremias 13-16
AGOSTO,10,Jeremias 17-20
AGOSTO,11,Jeremias 21-23
AGOSTO,12,Jeremias 24-26
AGOSTO,13,Jeremias 27-29
AGOSTO,14,Jeremias 30-32
AGOSTO,15,Jeremias 33-36
AGOSTO,16,Jeremias 37-39
AGOSTO,17,Jeremias 40-42
AGOSTO,18,Jeremias 43-46
AGOSTO,19,Jeremias 47-49
AGOSTO,20,Jeremias 50-52
AGOSTO,21,Lamentações 1-5
AGOSTO,22,2 Crônicas 1-3
AGOSTO,23,2 Crônicas 4-6
AGOSTO,24,2 Crônicas 7-9
AGOSTO,25,2 Crônicas 10-13
AGOSTO,26,2 Crônicas 14-16
AGOSTO,27,2 Crônicas 17-19
AGOSTO,28,2 Crônicas 20-23
AGOSTO,29,2 Crônicas 24-26
AGOSTO,30,2 Crônicas 27-29
AGOSTO,31,2 Crônicas 30-33
SETEMBRO,01,2 Crônicas 4-6
SETEMBRO,02,2 Crônicas 7-9
SETEMBRO,03,2 Crônicas 10-13
SETEMBRO,04,2 Crônicas 14-16
SETEMBRO,05,2 Crônicas 17-19
SETEMBRO,06,2 Crônicas 20-22
SETEMBRO,07,2 Crônicas 23-25
SETEMBRO,08,2 Crônicas 26-29
SETEMBRO,09,2 Crônicas 30-32
SETEMBRO,10,2 Crônicas 33-36
SETEMBRO,11,Ezequiel 1-3
SETEMBRO,12,Ezequiel 4-7
SETEMBRO,13,Ezequiel 8-11
SETEMBRO,14,Ezequiel 12-14
SETEMBRO,15,Ezequiel 15-18
SETEMBRO,16,Ezequiel 19-21
SETEMBRO,17,Ezequiel 22-24
SETEMBRO,18,Ezequiel 25-27
SETEMBRO,19,Ezequiel 28-30
SETEMBRO,20,Ezequiel 31-33
SETEMBRO,21,Ezequiel 34-36
SETEMBRO,22,Ezequiel 37-39
SETEMBRO,23,Ezequiel 40-42
SETEMBRO,24,Ezequiel 43-45
SETEMBRO,25,Ezequiel 46-48
SETEMBRO,26,Daniel 1-3
SETEMBRO,27,Daniel 4-6
SETEMBRO,28,Daniel 7-9
SETEMBRO,29,Daniel 10-12
SETEMBRO,30,Ester 1-3
